token_id,metadata_key,source_uri,resolved_url,filename,size_bytes,sha256,status,error
94,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/94,,superyeti_archive/metadata/94.json,508,,metadata-only,No public model URL found in metadata
95,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/95,,superyeti_archive/metadata/95.json,508,,metadata-only,No public model URL found in metadata
96,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/96,,superyeti_archive/metadata/96.json,508,,metadata-only,No public model URL found in metadata
97,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/97,,superyeti_archive/metadata/97.json,508,,metadata-only,No public model URL found in metadata
98,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/98,,superyeti_archive/metadata/98.json,508,,metadata-only,No public model URL found in metadata
99,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/99,,superyeti_archive/metadata/99.json,508,,metadata-only,No public model URL found in metadata
100,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/100,,superyeti_archive/metadata/100.json,508,,metadata-only,No public model URL found in metadata
101,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/101,,superyeti_archive/metadata/101.json,508,,metadata-only,No public model URL found in metadata
102,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/102,,superyeti_archive/metadata/102.json,508,,metadata-only,No public model URL found in metadata
103,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/103,,superyeti_archive/metadata/103.json,508,,metadata-only,No public model URL found in metadata
104,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/104,,superyeti_archive/metadata/104.json,508,,metadata-only,No public model URL found in metadata
105,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/105,,superyeti_archive/metadata/105.json,508,,metadata-only,No public model URL found in metadata
106,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/106,,superyeti_archive/metadata/106.json,508,,metadata-only,No public model URL found in metadata
107,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/107,,superyeti_archive/metadata/107.json,508,,metadata-only,No public model URL found in metadata
108,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/108,,superyeti_archive/metadata/108.json,508,,metadata-only,No public model URL found in metadata
109,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/109,,superyeti_archive/metadata/109.json,508,,metadata-only,No public model URL found in metadata
110,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/110,,superyeti_archive/metadata/110.json,508,,metadata-only,No public model URL found in metadata
111,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/111,,superyeti_archive/metadata/111.json,508,,metadata-only,No public model URL found in metadata
112,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/112,,superyeti_archive/metadata/112.json,508,,metadata-only,No public model URL found in metadata
113,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/113,,superyeti_archive/metadata/113.json,508,,metadata-only,No public model URL found in metadata
114,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/114,,superyeti_archive/metadata/114.json,508,,metadata-only,No public model URL found in metadata
115,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/115,,superyeti_archive/metadata/115.json,508,,metadata-only,No public model URL found in metadata
116,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/116,,superyeti_archive/metadata/116.json,508,,metadata-only,No public model URL found in metadata
117,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/117,,superyeti_archive/metadata/117.json,508,,metadata-only,No public model URL found in metadata
118,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/118,,superyeti_archive/metadata/118.json,508,,metadata-only,No public model URL found in metadata
119,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/119,,superyeti_archive/metadata/119.json,508,,metadata-only,No public model URL found in metadata
120,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/120,,superyeti_archive/metadata/120.json,508,,metadata-only,No public model URL found in metadata
121,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/121,,superyeti_archive/metadata/121.json,508,,metadata-only,No public model URL found in metadata
122,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/122,,superyeti_archive/metadata/122.json,508,,metadata-only,No public model URL found in metadata
123,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/123,,superyeti_archive/metadata/123.json,508,,metadata-only,No public model URL found in metadata
124,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/124,,superyeti_archive/metadata/124.json,508,,metadata-only,No public model URL found in metadata
125,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/125,,superyeti_archive/metadata/125.json,508,,metadata-only,No public model URL found in metadata
126,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/126,,superyeti_archive/metadata/126.json,508,,metadata-only,No public model URL found in metadata
127,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/127,,superyeti_archive/metadata/127.json,508,,metadata-only,No public model URL found in metadata
128,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/128,,superyeti_archive/metadata/128.json,508,,metadata-only,No public model URL found in metadata
129,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/129,,superyeti_archive/metadata/129.json,508,,metadata-only,No public model URL found in metadata
130,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/130,,superyeti_archive/metadata/130.json,508,,metadata-only,No public model URL found in metadata
131,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/131,,superyeti_archive/metadata/131.json,508,,metadata-only,No public model URL found in metadata
132,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/132,,superyeti_archive/metadata/132.json,508,,metadata-only,No public model URL found in metadata
133,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/133,,superyeti_archive/metadata/133.json,508,,metadata-only,No public model URL found in metadata
134,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/134,,superyeti_archive/metadata/134.json,508,,metadata-only,No public model URL found in metadata
135,,https://defra.systems/metadata/QmXFtqihiEDP5sJwME5dNB3NnYk6LeiepbD4RPP1XES6Ys/asset/135,,superyeti_archive/metadata/135.json,508,,metadata-only,No public model URL found in metadata
